word,score
paper,64.29032258064517
north,83.90322580645162
190,4.67741935483871
1971,2.2580645161290325
1300,2.0
class,74.74193548387096
border,7.935483870967742
foil,2.4193548387096775
archive,7.032258064516129
1976,2.064516129032258
want,25.677419354838708
euro,71.16129032258064
photo,68.29032258064517
mark,28.838709677419356
unique,24.548387096774192
hit,44.45161290322581
handball,4.193548387096774
different,82.09677419354838
crushing,1.0
rts,4.903225806451613
colored,11.096774193548388
358,2.0
wear,81.35483870967742
tiro,9.806451612903226
shapewear,2.870967741935484
suit,77.19354838709677
unlined,0.06451612903225806
warm,44.03225806451613
relaxed,5.935483870967742
folding,23.774193548387096
less,82.3225806451613
mess,56.45161290322581
adding,82.87096774193549
hitting,39.774193548387096
wrb,1.903225806451613
pen,12.67741935483871
release,65.54838709677419
win,42.58064516129032
minion,4.67741935483871
boom,22.161290322580644
diamond,80.64516129032258
autograph,3.6451612903225805
young,87.6774193548387
silicone,15.387096774193548
belgium,15.0
108,29.161290322580644
surf,73.51612903225806
assorted,3.032258064516129
midnight,52.54838709677419
ver,54.806451612903224
monster,23.903225806451612
american,81.7741935483871
315,8.451612903225806
conquest,6.258064516129032
crack,38.0
2004,66.35483870967742
juice,86.19354838709677
slazenger,0.967741935483871
iii,41.064516129032256
chair,84.48387096774194
656,1.032258064516129
irregular,13.451612903225806
hyperion,4.387096774193548
16l,0.967741935483871
birdie,4.032258064516129
surface,76.03225806451613
alpha,68.12903225806451
wave,60.45161290322581
etc,18.774193548387096
sensation,10.419354838709678
tacky,8.193548387096774
polytour,0.03225806451612903
onix,86.90322580645162
fuelcell,8.32258064516129
damp,32.935483870967744
legacy,85.16129032258064
velocity,27.483870967741936
multicolor,4.483870967741935
energized,0.9354838709677419
bounce,31.967741935483872
dunk,31.419354838709676
turf,59.29032258064516
magnetic,72.0
monarch,3.096774193548387
ferrari,13.129032258064516
goodfellow,0.03225806451612903
skin,83.90322580645162
renegade,3.096774193548387
basic,84.12903225806451
wing,54.354838709677416
disc,45.903225806451616
khaki,9.935483870967742
nib,3.903225806451613
tokyo,63.74193548387097
cleaning,66.54838709677419
drill,21.93548387096774
mad,32.61290322580645
teal,8.096774193548388
presale,13.225806451612904
140,89.61290322580645
refractor,1.8387096774193548
1988,55.16129032258065
pyc,0.6774193548387096
yankee,11.419354838709678
1999,36.58064516129032
extended,23.93548387096774
phoenix,72.90322580645162
advanced,55.225806451612904
ml,47.483870967741936
chicago,67.48387096774194
voit,0.967741935483871
beater,4.193548387096774
skill,76.74193548387096
waist,53.83870967741935
slimming,8.35483870967742
outerwear,0.8064516129032258
reflective,5.451612903225806
infinity,62.96774193548387
straight,55.935483870967744
tight,15.387096774193548
offensive,3.2580645161290325
buddy,9.96774193548387
return,72.48387096774194
garage,58.58064516129032
tenis,74.64516129032258
harimoto,0.03225806451612903
noir,68.6774193548387
six,23.129032258064516
dealer,10.225806451612904
night,77.87096774193549
international,59.096774193548384
chris,9.741935483870968
jack,12.290322580645162
school,71.80645161290323
precision,1.8709677419354838
elasticity,2.5161290322580645
boron,3.129032258064516
600,85.16129032258064
sl3,0.9032258064516129
nadal,2.0
triad,1.096774193548387
